StackOverflow Post link,Comment,Viral,Kosta,Note,Kosta Note
,"As a side comment, if you instantiate a Thread and do not call its start() method you are creating a memory leak in Java < 5 (this does not happen with Runnables): stackoverflow.com/questions/107823/… – Nacho Coloma Feb 7 '13 at 13:48",2,2,,
,"One minor advantage of Runnable is that, if in certain circumstances you don't care about, or don't want to use threading, and you just want to execute the code, you have the option to simply call run(). e.g. (very handwavy) if (numberCores > 4) myExecutor.excute(myRunnable); else myRunnable.run() – user949300 Mar 6 '13 at 19:30",3,3,,
,@user949300 you can also do that with extends Thread and if you don't want threading why would you even implement Runnable... – m0skit0 Apr 23 '13 at 8:15,3,3,,
,"I would also add that by implementing Runnable now rather than extending Thread, you make it easy for a future refactor of using thread-pools, timers, schedulers, and Executors. – brettw Jul 18 '13 at 3:46",4,,Both recommend implementing Runnable rather than extending Thread.,ok
,"To paraphrase Sierra and Bates, a key benefit of implementing Runnable is that you are architecturally seperating the ""job"" from the ""runner"". – 8bitjunkie Feb 12 '14 at 9:28",4,4,,
,"Another addition to the ""practical terms"" bit: a Runnable is, really, an encapsulation of any bit of code. Under certain circumstances, it may be useful to run a Runnable even when not within the context of a new thread. – Isaac May 24 '14 at 1:35",6,,,
,@m0skit0 the point of the code by user949300 is that it uses a conditional to only enable multi-threading when there are enough physical core – lolski Aug 18 '14 at 15:34,3,,I think you might have missed out this set of comments. They specifically refer to the user of a comment of group 3 earlier.,yes
,"@lolski My point being you can do that extending Thread or implementing Runnable, so really doesn't matter. – m0skit0 Aug 18 '14 at 15:56",3,,,
,"@m0skit0: It doesn't matter if you don't care about your code expressing what you're interested in. Personally I care about that very much. Yes, you can extend Thread just to implement Runnable... heck, you can pass one Thread instance to the constructor of another Thread instance. That doesn't mean it's a good idea. – Jon Skeet Aug 18 '14 at 16:03",3,,,
,"@JonSkeet Sorry, I didn't mean it doesn't matter to extend Thread or implement Runnable, I meant that that was not a valid argument for implementing Runnable :) – m0skit0 Aug 18 '14 at 17:15",3,,,
,"@m0skit0: What wasn't a valid argument for implementing Runnable? You implement Runnable if you want to represent ""something that can be run"" - it doesn't necessarily have to be in a new thread. – Jon Skeet Aug 18 '14 at 17:32",3,,,
,"Note that sometimes you (conceptually) are creating ""runners"", not ""jobs"". E.g. if you're writing a thread pool (for whatever reason). – user253751 Feb 12 '15 at 23:51",3,,,
,"@JonSkeet i'm currently creating a class that handles Threads, for example: pastebin.com/QNc8xY46. is it OK, or terribly wrong to do so? – homerun Mar 3 '15 at 11:48",5,5,,
,"@somefolk: Well it feels terribly wrong to have public methods beginning with _, and having both start() and _start() is really confusing... as is having an instance method called _sleep(), when there's a static sleep method. Not that your _sleep method actually does anything with the instance anyway. In general, this looks like a bad idea to me so far. – Jon Skeet Mar 3 '15 at 11:50",5,5,,
,The same answer is in official Java tutorials: docs.oracle.com/javase/tutorial/essential/concurrency/… – greenmarker Jun 27 '15 at 18:02,,,,
,"A thread that performs a specific task ""is a"" thread in the object oriented Liskov substitution sense, so the philosophical argument is invalid. The valid arguments for preferring Runnable are practical, and have to do with modularization of code, especially in cases where you only want multithreading for performance reasons. – Warren Dew Oct 20 '15 at 16:35",,,,
,"I know this is an old post, but I feel maybe you could elaborate a little more @JonSkeet give code snippets, pros and cons. As I believe some other answers are more worthy! – Small Legend May 21 '16 at 14:31",,,,
,"@SmallLegend: I don't see any benefit in code snippets here - I've basically explained the philosophical difference. You should generally extend a class if you're planning to change some of the behaviour it implements. When you extend Thread just to override Runnable, you're changing behaviour that isn't part of Thread itself. – Jon Skeet May 21 '16 at 14:33",,,,
,"Okay, you know best! So generally, there are no situations where one would choose Thread over Runnable? @JonSkeet – Small Legend May 21 '16 at 14:36",,,,
,"@SmallLegend: Well if you were customising the actual threading behaviour you could, rather than just ""the task that it's going to run"". Not sure what custom threading behaviour you would implement, admittedly... – Jon Skeet May 21 '16 at 14:44",,,,
,"I think that composition being philosophically purer is an argument for extending an object. Since this answer is saying implementing Runnable is preferred to extending Thread, perhaps composition has nothing to do with the rationale. – H2ONaCl Oct 6 '16 at 22:48",,,,
,"@H2ONaCl No, absolutely the opposite. Preferring composition over inheritance speaks against extending anything. – Jon Skeet Oct 6 '16 at 22:57",,,,
,Will there be any difference in the execution times between the two approaches? – AV94 Nov 18 '16 at 4:39,,,,
,"@AV94: Not measurable, I expect. – Jon Skeet Nov 18 '16 at 7:24",,,,
,"If you make an extend thread that prints out ""hello"" - and make a class that implements runnable - that prints out ""hello"", does that mean this is still true: ""You're not really specialising the thread's behaviour"" ?. I mean is there some mechanical things behind the scenes that make them different - or did Jon Skeet mean that you can potentially write more kind of code in an thread that extendend - and that that therefore have a greater risk of being screwed up with? How would telling an extend thread to print hello be more specializing than telling runnable to print hello? How? – Lealo Aug 13 '17 at 21:53",,,,
,"@Lealo: Implementing an interface isn't specialization... It's just providing the behaviour. The point is to separate the infrastructure involved in running ""some code"" on different thread, and what that code is. They are orthogonal concerns, so shouldn't be merged together via inheritance, IMO. I suspect if Java were redone from scratch today, this wouldn't even be an option. – Jon Skeet Aug 13 '17 at 21:57",,,,
,"Can you relate your point to the size of an thread that extends a class - to implementing the runnable interface. The thread class already contains the runnable interface. So I assume it somehow are bigger in size. By using extended thread you need (Thread: runnable interface - extending java.lang.object), but you can take out that runnable interface and use it independently. Also is this not then just as comparing (ice cream) with (ice cream + ice cream hornet)? – Lealo Aug 14 '17 at 0:23",,,,
,"@Lealo: The size is irrelevant to the point here. Yes, Thread implements Runnable, but that was a design mistake IMO. – Jon Skeet Aug 14 '17 at 5:35",,,,
,"@8bitjunkie But what if your ""unit of work"" is a ""runner""? For example the ""work unit"" done by the threads in a thread pool, which pulls other work units off a queue and executes them, forever. – user253751 Dec 2 '19 at 18:13",,,,
https://stackoverflow.com/a/604426/5749570,"For reference, the Blah.valueOf(""A"") method is case sensitive and doesn't tolerate extraneous whitespace, thus the alternate solution proposed below by @JoséMi. – Brett Dec 17 '13 at 17:37",1,1,,
,"@Michael Myers, Since this answer is the most voted up by far, should I understand that it's good practice to define an enum and its String value to be exactly the same? – Kevin Meredith Feb 12 '14 at 21:24",3,3,,
,"@KevinMeredith: If you mean the toString() value, no, I wouldn't say that. name() will get you the actual defined name of the enum constant unless you override it. – Michael Myers♦ Feb 14 '14 at 4:10",3,3,,
,"What exactly do you mean by ""are created at compile time and do not appear in source code."" ? – treesAreEverywhere Mar 7 '14 at 0:43",2,2,,
,"@treesAreEverywhere More specifically, those methods are generated (or synthesized) by the compiler. The actual enum Blah {...} definition shouldn't try to declare its own values nor valuesOf. It's like how you can write ""AnyTypeName.class"" even though you never actually declared a ""class"" member variable; the compiler makes it all Just Work. (This answer may no longer be useful to you 3 months later, but just in case.) – Ti Strga May 30 '14 at 19:31",2,2,,
,"Great answer--in addition I've found adding a few little helper methods to enums helps a lot... For instance, if you create a static map of lower-case entries in the constructor then you can add a method that looks the enum up in a case-insensitive way, or converts underbars to spaces so user input like ""Second Entry"" could map to an enum SECOND_ENTRY. – Bill K Nov 19 '15 at 17:39",4,4,,
,"Why does @Brett's comment have so many votes? Of course it's case sensitive and doesn't tolerate extraneous whitespace, anything else would be insane. – nemetroid Jun 29 '17 at 8:54",6,,,
,"@nemetroid Not that insane, given that whitespace is not allowed in names and that all enum names are uppecase by convention. So a tolerant lookup method is possible as the result stays unique. However, users may require something even more tolerant and therefore it's best to provide a canonical strict version (and there are other problems like uppercasing being locale-sensitive and whatever). – maaartinus Aug 21 '18 at 22:48",6,,,
,"Upvote, but this post would be even better with a mention of Enum::name – Bex Aug 22 '18 at 14:27",5,5,,
https://stackoverflow.com/a/886979/5749570,"This does jump to directly after the loop. Try it! Yes, the label comes before the loop, but that's because it's labeling the loop, rather than the place you want to exit to. (You can continue with a label too.) – Jon Skeet May 20 '09 at 9:15",1,1,,
,Perl also does permits this its own label system. I think a lot of languages do -- it hardly surprises me that it is in Java. – Evan Carroll Dec 6 '11 at 22:53,2,2,,
,"@Evan - that claim is clearly true - in languages that promise that it's true. But Java doesn't make that promise. If a language is in conflict with your assumptions, it's possible that it's your assumptions that are at fault. In this case, I think you're still partly right - principle of least surprise WRT the many who never heard of (or forgot about) that form of break. Even then, exceptions are another better-known exception (sorry). But I'd still be unhappy about this if it wasn't obvious (small loops, warning comment if the label/break still aren't visible enough). – Steve314 Dec 7 '11 at 0:40",2,2,,
,"@boutta - Ada has this style of break spelled with an exit <optional-label> when <condition>; statement, and it has a goto, so you can put the label either end of the loop. IIRC, goto is much more frowned on than the exit version though. Even for exit, some people will beat you with a pretty big stick for using a ""hidden goto"", but if you use a blatant goto... – Steve314 Dec 7 '11 at 0:48",,,,
,"Well one Jon skeet answer I don't like much, as I don't want to go through a code like this with all those labels.. But upvoted since it is allowed in the language.. – Krishnabhadra Jan 8 '13 at 12:08",,,,
,JonSkeet or @BGR Why are break labels not ok? Or why do you prefer the other way? – JWiley Mar 19 '13 at 18:32,5,5,,
,@JWiley: I usually find it's easier to read a method which returns from the middle of code. – Jon Skeet Mar 19 '13 at 18:45,5,5,,
,"@JWiley. Same here; easier to read: when you ""hit"" return, you can stop reading - easier to maintain: when fixing something before the return, you do not have to worry for side effects outside of the loop. IMHO, returning fast usually leads to more compact, simpler code. – Bruno Grieder Mar 20 '13 at 10:05",5,5,,
,"In Dijkstra's ""Goto considered harmful"" paper, what he specifically objected to was the labels, not the goto. He observed that the number of bugs seems to increase with the number of labels in a program, and that labels and gotos make programs difficult to analyze. – erhun Aug 5 '14 at 20:12",,,,
,What is outerloop? No type? Even i tried to do same syntax error! – Muhammad Babar Feb 2 '15 at 10:43,3,3,My mistake. Fixed it. Now we are in sync.,ok
,"@MuhammadBabar: outerloop is a label. I don't know exactly what code you tried, but the code in my answer compiles and runs just fine. – Jon Skeet Feb 2 '15 at 10:47",3,3,,
,Does this paradigm work for breaking out of a loop inside a switch-case statement that is part of the loop? – Bruce Wayne Jul 16 '15 at 17:11,,,,
,"@Bruce: I suspect so, but I suggest you just try it. – Jon Skeet Jul 16 '15 at 17:42",,,,
,"@erhun, Regarding labels, I would think that ""break to"" or ""continue to"" would be inherently more readable than ""go to"", since the places you can break to or continue to are few and straightforward to find. – Earl Zedd Nov 13 '15 at 0:00",,,,
,"@MinhasKamal: Please stop edits with things like putting ""EDIT"" in bold for no reason, and quoting pieces of output. Your proposed edit was no clearer, and clearly conflicted with my intended indentation etc. – Jon Skeet Mar 19 '16 at 14:18",,,,
,"""break outerloop"" == ""goto"" statement. uurgh! I use booleans as an explicit trigger to terminate a loop in the for statement when i have nested loops, single point of exit out of an inner loop and then further tests outside of each loop achieve the same thing, but IMHO is better for maintainability. Each to their own.. – angryITguy Jun 14 '17 at 2:41",,,,
,"It's a matter of readability. And I think the labeled break is perfectly readable, it explicitly declares the block it wants to leave, so to me it's even clearer than the unlabeled break. Having said that, if the nested loops fulfill some purpose that can be expressed with a method name (and doesn't need to pass a dozen of parameters), introduce the method. But I'd definitely prefer the nested loops with labeled break to a method that's named ""loop"". – Ralf Kleberhoff Jul 30 '17 at 10:38",,,,
,"I have sonarLint plugin installed in my IDE, while using break with label, sonarLint gives it as a major codeSmell and when I look at the description provided, it says Labels are not commonly used in Java, and many developers do not understand how they work. Is the reason provided legit? – Nisarg Patil Jan 19 '18 at 7:22",4,4,My mistake. Fixed it. Now we are in sync.,ok
,"@NisargPatil: The reasoning seems sound, although I don't think I'd call it a ""major code smell"". As per the start of my answer though, I'd prefer to just put it in a separate method. – Jon Skeet Jan 19 '18 at 7:25",4,4,,
,"Maybe you meant ""put both loops in a different method (or only body of the outer loop in case continue needed instead of break)""? – John McClane Dec 5 '18 at 3:24",,,,
,"@JohnMcClane: It's hard to know exactly what I meant 9 years later, but I suspect you're right. Will edit. – Jon Skeet Dec 5 '18 at 7:27",,,,
,"@NisargPatil Just because it is in sonarLint doesn't make it a code smell. It just means there was a developer that added this to sonarLint with a personal itch to scratch, and it is full of these kinds of rules that only make sense when abused, or because some developer has a personal hate crusade against them. Labelled breaks and continues are a very elegant way to describe what you want to do. – john16384 Feb 8 '19 at 16:52",4,4,My mistake. Fixed it. Now we are in sync.,ok
,"Unlike many commenters, I find nothing wrong with this construct. It's often clearer than flag variables. It doesn't to my mind have the problem that Dijkstra's complaint about label proliferation. With 1960s-vintage labels and goto, the presence of a label meant control could arrive there from almost anyway. This sort of label is not a jump target, it's just naming a statement. I do however find 'break foo' to be a little odd from readability; BLISS had 'leave foo' for this same construct, which makes much more sense linguistically speaking: we are leaving the statement named 'foo'. – user10762593 Feb 27 '19 at 0:59",,,,
,"Great info, but yeah, I can definitely see why you and other prefer having the loop in a method and returning instead. – Andrew Robie Jul 1 '19 at 14:04",,,,
,"While I do like the return solution, sometimes the label solution is better because it doesn't interrupt the flow of reading (as a separate method would), e.g. if you've got more code before and especially after the loops. @JonSkeet A suggestion: Add another print directly after the inner loop. This way you can ""prove"" that the break actually breaks both loops instead of jumping outside the inner loop and only then breaking the outer loop too. – Neph Oct 23 '19 at 10:30",,,,
,"@Neph: I'd rather not start editing a 10+ year old answer, having to rerun it etc. I haven't seen any sign that people need that ""proof"". The fact that it doesn't show ""3 0"" seems proof enough to me. – Jon Skeet Oct 23 '19 at 10:33",,,,
,"@JonSkeet I just ran it to test it and added the extra print because I wasn't sure how the break would work exactly. Not showing ""3 0"" just means that the inner loop is broken, it doesn't proof that it won't run code after the inner loop (so e.g. the extra print I suggested) before that outer loop is broken too. I can provide an edit for code and prints if you'd like. – Neph Oct 23 '19 at 10:39",,,,
,"@Neph: No, I really don't think it's worth adding the extra output. – Jon Skeet Oct 23 '19 at 11:54",,,,
https://stackoverflow.com/a/215505/5749570,"The table above is incorrect, as even private members can be seen/used by any class/static method in the same source-file. – Usagi Miyamoto Apr 16 '17 at 6:17",I,1,So these comments were integrated in the revised answer. ,"agree, but can we mark I,P,C in a separate column in addition to the cluster number"
,The protected member can only be accessed from subclass of same package but not subclass from different package. There should be a correction in above table – niks Sep 1 '17 at 8:35,I,2,,
,I am still not able to differentiate between 'Public' and 'Protected'. And what is 'World' in this answer. Does it mean access out of project folder in a different project & package?? But that is not taking place. Need help on this. – Deepak Apr 25 '18 at 12:25,2,4,,
,"@Deepak, World is within your project. If you have a class that is public, any other class can instantiate that class. Same as methods. If it is public, anyone that uses that class can use that method. Package refers to the ""folder"" that you are in. So, ca.my.package.controllers is different than ca.my.package.models. Public items are accessible outside of those packages, but the rest are not. package-private are considered public within the package, essentially. Protected means anything that inherits it, or within the same package. Private removes all outside access, including package. – adprocas May 3 '18 at 12:59",2,4,,
,"World is within your project. I should explain further. Libraries are within your project, and if you're creating a library, they would expose these public classes and methods as well. So, saying just within your project is a bit off. ""Everything that uses it"" is a better description. – adprocas May 3 '18 at 13:02",2,4,,
,@adpro - I tried at my end making methods public and protected but both of these types of methods are accessible outside their primary package and user has to extend the parent class in both the cases which is quite obvious. I am still unsure of the difference. A little bit more explanation or trick might help. – Deepak May 4 '18 at 6:23,2,4,,
,"@Deepak, if you are extending (inheriting) the class then that class that is inheriting will have access to all public and protected methods and properties. If you instead instantiate that class in another class (not extend) and try to do something like object.protectedMethod() on a protected method, you won't be able to unless it is in the same package. – adprocas May 4 '18 at 12:22",2,4,,
,"For example, if I have MyClass and I'm doing AnotherClass extends MyClass I will have access to all protected and public methods and properties from within AnotherClass. If I do MyClass myClass = new MyClass(); in AnotherClass somewhere - let's say the constructor - I will only have access to the public methods if it is in a different package. Note that if I do = new MyClass() { @Override protected void protectedMethod() { //some logic } }; it appears that I can access protected methods, but this kind of the same as extending it, but inline instead. – adprocas May 4 '18 at 12:25",2,4,,
,"Unfortunately, this answer is a gross oversimplification. Reality is a bit more complicated, especially when you consider protected (which is actually quite a difficult access modifier to fully understand - most people who think they know what protected means really don't). Also, as Bohemian pointed out, it doesn't answer the question - it says nothing about when to use each access modifier. In my opinion, this answer isn't quite bad enough to downvote, but close. But over 4000 upvotes? How did this happen? – Dawood ibn Kareem Jul 11 '18 at 6:26",1,3,"If you remove the two integrated comments, our annotation will align well. Right now they are 2 apart.",ok
,"Subclass (same package) field is misleading, It's better to remove that column. Because it doesn't matter is that a subclass or not. – Anatolii Stepaniuk Sep 6 '18 at 7:04",3,5,,
,"@DawoodsaysreinstateMonica It's a great answer, it's exactly what most people that find this page are looking for. Also, that table is from the official Oracle tutorial. But how about you toss us a link so we can learn what ""protected"" really means? – Heinzlmaen Feb 6 at 14:58",1,,Reply to Dawood's comment,ok
https://stackoverflow.com/a/17959137/5749570,Can you provide an example case with specific data where you think Days.daysBetween is incorrect? – Basil Bourque Dec 25 '14 at 9:33,I,1,Integrated,"agree, but can we mark I,P,C in a separate column in addition to the cluster number"
,"When you say to use Instant, you're not just talking about start.toInstant(), are you? – Patrick M Feb 10 '15 at 21:44",I,2,,
,"@PatrickM Yes, I was. On reflection, it's not clear exactly what constraints this is intended to impose, so I'll remove that last sentence. Thanks! – Alice Purcell Feb 11 '15 at 23:28",I,2,,
,@chrispy daysBetween doc says it returns number of WHOLE days. In my case 2 days and 1 hour should return me 3 days. In your example it returns 2 days. Is there a way to achieve this? – Sujit Joshi Jun 18 '16 at 20:51,3,3,I think yours is wrong here. All comments have equal votes (0). So we should take total rep points in account.,you are right
,@SujitJoshi I'm afraid I don't understand your question. I suggest posting a full Stack Overflow question and pasting a link here for me :) – Alice Purcell Jun 19 '16 at 21:55,3,3,,
,Beware of dates overlapping with a new year! Days between 31 dec 2016 and 5 jan 2017 gives -361 days. – Sylphe Jan 4 '17 at 17:37,1,4,,
,"@Sylphe No, it doesn't, I just checked. I suspect you typo'd 2017. – Alice Purcell Jan 5 '17 at 12:47",1,4,,
,What if cast to UTC DateTime withTimeAtStartOfDay is it equivalent ? – Oleksandr Albul May 2 '19 at 5:23,2,5,,
,@OleksandrAlbul That will only give you an answer valid in the UTC timezone. – Alice Purcell May 3 '19 at 9:49,2,5,,
https://stackoverflow.com/a/15182578/5749570,"Pedantically, new Random(-229985452).nextInt(27) always returns 8. – user253751 Mar 12 '15 at 2:16",1,1,,
,"@immibis why? i mean Random() should return random number every time, not a fix ordered number set? – roottraveller Mar 7 '17 at 7:22",1,2,@immibis is the same as @user253751. So that means all of these comments should be group 1.,agree
,"@rootTraveller For a start, new Random() doesn't return a number at all. – user253751 Mar 7 '17 at 7:25",1,2,,
,"@roottraveller ""Random"" is a deterministic psuedo-random number generator. If you initialise it with a fixed seed it will produce a fixed sequence of numbers. – plugwash Oct 9 '18 at 13:55",1,2,,
,Is there a way these seeds are calculated? There must be some logic...or is it just brute force. – Sohit Gore Jan 25 '19 at 10:36,2,3,This will align automatically once you fix the above.,ok
,"@SohitGore Given that Java's default Random isn't cryptographically secure (I'm pretty sure it's a Mersenne Twister, but don't quote me on that), it's probably possible to work backwards from ""I want these numbers"" to ""this is the seed I would use"". I've done something similar with the standard C linear congruential generator. – Fund Monica's Lawsuit Jun 27 '19 at 20:06",2,3,,
https://stackoverflow.com/a/15182511/5749570,"Was this something the people who designed Java intentionally did (as an Easter egg?) It's just a bit mind-blowing that you could possibly product the Hello, world String, which just happens to be the most favourite string in any programming languages. – One Two Three Mar 3 '13 at 4:44",4,2,There is another group ahead of this,ok
,"@Vulcan - the javadoc says that the seed is 48 bits. docs.oracle.com/javase/7/docs/api/java/util/Random.html. And besides, the actual seeds are 32 bit values. – Stephen C Mar 3 '13 at 4:58",2,3,This comment has 8 votes - the most votes after group 1. So it should be group 2.,ok
,"Each element of the random number sequence is taken modulo 27, and there are 6 elements in each of ""hello\0"" and ""world\0"". If you assumed a truly random generator, the odds would be 1 in 27^6 (387,420,489) of getting the sequence you were looking for -- so it's pretty impressive but not quite mind-blowing! – Russell Borogove Mar 3 '13 at 7:48",1,1,,
,"@RussellBorogove: But with those odds, and 2^64 possible seeds, there are an expected 47.6 billion seed values that give that sequence. It's just a matter of finding one. – dan04 Mar 3 '13 at 17:54",1,1,,
,"@dan04 -- I wasn't quite willing to make that estimate; depending on the implementation of the PRNG, the size of the seed word might not equal the size of the state, and sequence paths might not be evenly distributed. But still, the odds are definitely good, and if you couldn't find a pair you could try again with different casing (""Hello"" ""World""), or using 122-k instead of 96+k, or... – Russell Borogove Mar 3 '13 at 18:15",1,1,,
,"@OneTwoThree It's almost always very important that a random number generator can be predictable when needed, as it's very hard to test things otherwise, as running the same code twice can produce different results. Using seeds in PRNGs means you can use a specific seed when testing (or at least report the seed so a result can be reproduced), and then later you can use a seed which will change - e.g. new Random() uses a seed taken from the current time. – user1020786 Mar 4 '13 at 8:55",4,5,Discrepancy due to above error.,ok
,Note that the javadoc does not specify the exact details of the implementation. Hence you cannot rely on this being portable across JVM implementations. – Thorbjørn Ravn Andersen Aug 26 '13 at 7:28,3,4,,
,"@ThorbjørnRavnAndersen The Javadoc specifies that ""particular algorithms are specified for the class Random. Java implementations must use all the algorithms shown here for the class Random, for the sake of absolute portability of Java code."" – FThompson Aug 27 '13 at 3:05",3,4,,
https://stackoverflow.com/a/3295517/5749570,"Right on, in my opinion almost all documentation revolving around beans can't describe the term as concisely as you have. +1 – AndaP Sep 20 '12 at 12:42",P,1,"I think it is a pure P. If I call it group 1 like you do, the rests of the annotations align well.","good. please put P,I,C in another column"
,Is it required for the members of a bean to also be beans? Seems like a reasonable requirement.. – worldsayshi May 6 '13 at 8:01,1,2,,
,"@worldsayshi - No, it's not required. For example a bean can contain a String; and String is not a bean. (String is immutable, so you cannot create it by calling an empty constructor and a setter.) It seems reasonable that a Serializable object should have Serializable members, unless it somehow serializes them from outside. So no, Java bean members do not need to have any aspect of Java beans. Although it is more simple if they are beans, too. – Viliam Búr Aug 2 '13 at 5:46",1,2,,
,"""All properties private"" is not correct. Properties are inferred from the getters and setters (if there is a method X getFoo() -> the bean has a readable property called ""foo""; if there is a method setFoo(X foo) -> the bean has a writeable property called ""foo""). Properties can be backed by member fields (but don't have to be) which are usually private. – Puce Dec 1 '15 at 16:19",2,3,,
,"I hope for being a Java bean ""a class must be Public"". And is it really need that it should implement Serializable Interface?? – Satyabrata sahoo May 27 '16 at 7:12",I,5,Integrated,
,"It sounds as if you should not declare state variables final, because you have a no-args constructor. Is this right? – ncmathsadist May 29 '16 at 17:09",3,4,,
,"@ncmathsadist, yes, that must be the case. – Paul Wintz Jun 2 '17 at 18:22",3,4,,
,Thanks a lot! Why did I have to search everywhere to get to this? Why cannot people be as to the point as you have been with your answer?!! Such a hugely un-intuitive term for such a simple standard. – mavili Nov 5 '18 at 14:28,P,,Praise,
,"@Puce I think that misnomer is due to the fact that in other OOP languages, member fields are called properties (JavaScript, PHP) or instance variables (Python). People seem to use these terms interchangeably. – OzzyTheGiant Apr 12 '19 at 13:32",2,,I think you missed out these 2.,ok
,"That's all very concise, clear and nice; however, nowadays, a lot of people (in courses, tutorials, or even talks) refer the the @Entity (javax.persistence.entity) as to the Javabean class annotated with @Entity (for ORM mapping).. and.. @Entity classes do not implement java.io.Serializable.. that's what usually confuses me a bit, as I'm a very picky and perfectionist type of person. Is @Entity a Javabean or something close to Javabean? – Giorgi Tsiklauri Dec 8 '19 at 8:02",4,,,
https://stackoverflow.com/a/11227902/5749570,@phonetagger Take a look at this followup question: stackoverflow.com/questions/11276291/… The Intel Compiler came pretty close to completely getting rid of the outer loop. – Mysticial Jul 10 '12 at 17:08,1,1,,
,@Mysticial How does the train/compiler know that it has enter the wrong path ? – onmyway133 Aug 6 '13 at 9:07,,,,
,"Under the modern C and C++ standards, the shifting hack is actually not implementation-defined behavior, but undefined behavior! Shifting a 1 in or out of the sign bit of a signed integer is no longer permissible. – Phil Miller Aug 18 '13 at 20:57",4,4,,
,@Novelocrat Only half of that is correct. Shifting a 1 into the sign-bit when it is zero is indeed UB. That's because it's signed integer overflow. But shifting a 1 out of the sign-bit is IB. Right-shifting a negative signed integer is IB. You can go into the argument that that C/C++ doesn't require that the top bit be the sign indicator. But implementation details are IB. – Mysticial Aug 18 '13 at 21:04,4,4,,
,"@Mystical readability of the 'hack' can be increased by introducing a method. E.g. in java private int sumIfGreaterThan128(int curSum, int value). The JIT compiler will inline it at runtime anyway. I guess in other languages there are equal optimizations available. – René Link Jan 24 '14 at 10:15",,,,
,"@Unheilig Using bitwise operations for anything other than legitimate bit manipulation or multiplying/dividing by a variable power-of-two is not something I usually recommend since it's often obfuscating. Nevertheless, here's a good reference for bit twiddling hacks: graphics.stanford.edu/~seander/bithacks.html – Mysticial Mar 8 '14 at 19:53",3,3,,
,"@Mysticial Thanks so much for the link. It looks promising. I will go though it. One last request. Sorry, but please don't mind, could you tell me how you could do this int t = (data[c] - 128) >> 31; sum += ~t & data[c]; to replace the original if-condition above? – Unheilig Mar 8 '14 at 20:05",3,3,,
,"@obe: Given hierarchical memory structures, it's impossible to say what the expense of a cache miss will be. It might miss in L1 and be resolved in slower L2, or miss in L3 and be resolved in system memory. However, unless for some bizarre reason this cache miss causes memory in a non-resident page to be loaded from disk, you have a good point... memory hasn't had access time in the range of milliseconds in about 25-30 years ;) – Andon M. Coleman Apr 19 '14 at 12:17",,,,
,"Would the conditional be faster than the hack if there was no branch prediction? The conditional would be (check) (jump) (add), whereas the hack uses 4 consecutive arithmetic operations – woojoo666 Jun 19 '14 at 23:33",,,,
,@woojoo666 That would depend on how expensive the 4 operations are with respect to the branch handling logic. So it'll probably vary on a case-by-case basis. – Mysticial Jun 19 '14 at 23:45,,,,
,"Isn't it possible to execute both branches in parallel and later stop execution of one wrong branch, Instead of predicting one branch? – naveejr Jul 8 '14 at 5:33",,,,
,"@Tuğrul I would assume that for a given particle the chance that it collides with another particle is less than 1%. Then the branch prediction could just always predict no collision and would be >99% correct, whether sorted or not. In the end for fast collision check you'll want to use a tree structure anyways. – matec Sep 27 '14 at 19:23",,,,
,"I wonder why is the branch prediction concept in place, what is the use of the (Branch Prediction)concept ? I mean without it we would get definite result with the sorted and unsorted array. – Code Geek Nov 7 '14 at 17:52",,,,
,"When does branch prediction takes place? When does language will know that array is sorted? I'm thinking of situation of array that looks like: [1,2,3,4,5,...998,999,1000, 3, 10001, 10002] ? will this obscure 3 increase running time? Will it be as long as unsorted array? – Filip Bartuzi Nov 9 '14 at 13:37",5,,These 2 comments have a total upvote score of 17 + 21 = 38.,ok
,"@FilipBartuzi Branch prediction happens in the processor while it is running the code. The language doesn't know anything. In your example, it will still be fast because you're only adding 1 or 2 mispredictions on and around the 3. – Mysticial Nov 9 '14 at 17:49",5,,,
,"@BJHomer I tried it with Clang 3.5: debug sorted 9.3s, debug unsorted 24.6s. O2 sorted 5.0s, O2 unsorted also 5.0s. So it seems like Clang is able to optimize the loop well. The branchless version from the post took 13s for debug, 4.1s for O2, with almost no difference between sorted/unsorted. – Tomas Andrle Nov 25 '14 at 15:32",,,,
,"This may be out of scope of this Q/A, but are there modern processors that will continue down both paths a short ways when the branch prediction reports similar odds for each branch? If not, why not? It would seem that spare cycles gone into ensuring the branch is ready in time is better than guessing incorrectly or just waiting around. – Slipp D. Thompson Jan 17 '15 at 22:54",,,,
,@SlippD.Thompson Probably not for the reasons I mentioned in an earlier comment.. – Mysticial Jan 18 '15 at 1:19,,,,
,Rule of thumb for writing code that is efficient on a modern processor: Everything that makes the execution of your program more regular (less uneven) will tend to make it more efficient. The sort in this example has this effect because of branch prediction. Access locality (rather than far-and-wide random accesses) has this effect because of caches. – Lutz Prechelt Feb 1 '15 at 15:25,,,,
,"The grammar in me wants me to think this should read ""... victim of branch prediction failure"" rather than just ""... victim of branch prediction fail."" – jdero Jun 27 '15 at 11:35",2,2,,
,"So in Java's case, for example, does the branch prediction take place on the processor level or in the java runtime? – TheGuyWithTheFace Jun 29 '15 at 14:42",,,,
,"GCC has a lot of optimizations that aren't enabled by default, among the things it can do: – Ismael Luceno Jul 11 '15 at 9:19",,,,
